Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Daniel Salters","AA",23,150,1.379310344,0.265957446,0.034482758,0.15671642,0.066666666,0.26,"sa829475"
"Nick Schulz","AA",25,446,1.31632653,0.192170818,0.102040816,0.10893372,0.096412556,0.226457399,"sa829877"
"Roemon Fields","AA",25,556,1.733333333,0.16751269,0.033333333,0.0744888,0.080935251,0.176258992,"sa829879"
"Billy Fleming","AA",23,144,0.8,0.228571428,0.022222222,0.09708738,0.097222222,0.159722222,"sa836204"
"Stephen Gaylor","AA",24,117,3.916666666,0.233766233,0.083333333,0.09090909,0.051282051,0.239316239,"sa842226"
"Jesse Jenner","AA",22,114,1.354838709,0.16091954,0.064516129,0.10843373,0.035087719,0.175438596,"sa857727"
"Jordan Tarsovich","AA",25,198,0.693548387,0.222222222,0.064516129,0.07506053,0.131313131,0.161616161,"sa857752"
"Dian Toscano","AA",27,203,1.35,0.259842519,0,0.12903226,0.108374384,0.261083743,"sa861014"
"Alexeis Bell","AA",32,106,1.033333333,0.2375,0.033333333,0.09443099,0.08490566,0.141509433,"sa863591"
"Tim Arakawa","AA",23,116,1.464285714,0.103896103,0,0.0443459,0.112068965,0.155172413,"sa875387"
"Allen Staton","AA",23,205,1.511111111,0.209790209,0.066666666,0.13110181,0.07804878,0.170731707,"sa877550"
"Alejandro Garcia","AA",25,199,1.673913043,0.211538461,0.065217391,0.09538951,0.030150753,0.150753768,"sa880808"
"Osmel Aguila","AA",26,145,0.95,0.178947368,0.125,0.12,0.08275862,0.206896551,"sa916860"
